[Thu Feb 16 12:26:34.682 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:37:27.879 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:37:27.883 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:37:27.886 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:37:29.095 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:37:29.099 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:37:29.104 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] http://localhost:3000/home/search?search_term=Search&commit=Search#
[Thu Feb 16 12:44:38.764 2012] 0.000 sec [all/2/rel 2 (0,20)] [topic_core] this
[Thu Feb 16 12:44:38.782 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] this
[Thu Feb 16 12:44:38.785 2012] 0.000 sec [all/2/rel 1 (0,20)] [question_core] this
[Thu Feb 16 12:45:54.934 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 12:45:54.937 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 12:45:54.940 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 12:45:56.247 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 12:45:56.250 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 12:45:56.255 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 12:45:56.783 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 12:45:56.786 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 12:45:56.792 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 12:45:56.922 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 12:45:56.926 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 12:45:56.930 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Thu Feb 16 12:45:57.398 2012] 0.000 sec [all/2/rel 0 (0,20)] [topic_core] Search
[Thu Feb 16 12:45:57.402 2012] 0.000 sec [all/2/rel 0 (0,20)] [sub_topic_core] Search
[Thu Feb 16 12:45:57.406 2012] 0.000 sec [all/2/rel 0 (0,20)] [question_core] Search
[Fri Apr 27 05:49:53.036 2012] 0.034 sec [all/1/rel 2 (0,10)] [*] Sawm of Ramadan
[Fri Apr 27 05:49:53.207 2012] 0.002 sec [all/1/rel 2 (0,10)] [*] Sawm of Ramadan
